COUNTY,STNAME,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
1,California,Alameda ,1671329,823247,848082,414416,409177,88167,96201,9048,8749,259991,280400,7534,8227,44091,45328,451943,447434,102712,111680,18534,19263,286818,307183,13053,14053,634636,663638,256400,255734,81150,88804,1957,2200,254719,274979,6423,7051,33987,34870,284971,284737,92291,100719,6123,7255,277718,297837,10757,11661,188611,184444,158016,153443,7017,7397,7091,6549,5272,5421,1111,1176,10104,10458,166972,162697,10421,10961,12411,12008,9100,9346,2296,2392
3,California,Alpine ,1129,609,520,424,343,0,4,146,144,11,7,0,0,28,22,450,363,15,11,154,156,18,9,0,3,534,456,384,308,0,4,121,122,11,7,0,0,18,15,400,322,11,9,126,130,15,8,0,2,75,64,40,35,0,0,25,22,0,0,0,0,10,7,50,41,4,2,28,26,3,1,0,1
5,California,Amador ,39752,21638,18114,19053,16583,955,111,554,371,318,347,61,55,697,647,19671,17173,1124,250,917,727,515,528,130,107,18021,15978,15959,14783,902,92,362,244,259,316,39,44,500,499,16396,15234,1023,201,599,502,421,475,95,86,3617,2136,3094,1800,53,19,192,127,59,31,22,11,197,148,3275,1939,101,49,318,225,94,53,35,21
7,California,Butte ,219186,108473,110713,92754,94988,2316,1842,2730,2817,5461,5523,316,312,4896,5231,97324,99889,3738,3349,4806,5119,7157,7246,785,752,89311,92144,76229,79186,2011,1515,1657,1733,5246,5327,229,236,3939,4147,79924,83077,3236,2795,3104,3339,6751,6847,618,593,19162,18569,16525,15802,305,327,1073,1084,215,196,87,76,957,1084,17400,16812,502,554,1702,1780,406,399,167,159
9,California,Calaveras ,45905,22847,23058,20794,20958,303,195,428,477,390,469,58,64,874,895,21574,21770,472,364,881,977,675,724,136,132,19821,20117,18213,18459,261,159,271,291,310,409,44,54,722,745,18854,19126,407,299,620,691,569,648,110,112,3026,2941,2581,2499,42,36,157,186,80,60,14,10,152,150,2720,2644,65,65,261,286,106,76,26,20
11,California,Colusa ,21547,10975,10572,10011,9619,164,118,312,282,152,185,63,67,273,301,10249,9884,247,211,430,425,232,260,95,96,4210,4319,3649,3695,127,93,142,151,112,154,34,39,146,187,3772,3860,182,157,188,223,164,212,53,57,6765,6253,6362,5924,37,25,170,131,40,31,29,28,127,114,6477,6024,65,54,242,202,68,48,42,39
13,California,Contra Costa ,1153526,564187,589339,372197,379086,52267,57797,5984,5725,99630,111488,3416,3455,30693,31788,399287,407030,61879,67818,12804,13023,118061,130291,6633,6803,414051,439055,242832,249561,47774,53024,1571,1555,96077,107968,2626,2753,23171,24194,263136,270682,55040,60702,5366,5845,111101,123341,5063,5312,150136,150284,129365,129525,4493,4773,4413,4170,3553,3520,790,702,7522,7594,136151,136348,6839,7116,7438,7178,6960,6950,1570,1491
15,California,Del Norte ,27812,15186,12626,11674,10046,884,96,1415,1277,410,451,23,31,780,725,12387,10722,1033,229,1869,1719,620,617,75,70,11581,10635,8690,8546,844,73,1064,995,381,421,19,23,583,577,9220,9080,959,177,1370,1327,564,577,64,57,3605,1991,2984,1500,40,23,351,282,29,30,4,8,197,148,3167,1642,74,52,499,392,56,40,11,13
17,California,El Dorado ,192843,96158,96685,85557,85379,1142,858,1340,1234,4128,5189,223,213,3768,3812,89067,88956,1824,1551,2772,2682,5914,6965,566,555,83368,84097,74547,74356,967,729,766,734,3956,5018,167,161,2965,3099,77327,77277,1511,1310,1707,1746,5524,6611,453,448,12790,12588,11010,11023,175,129,574,500,172,171,56,52,803,713,11740,11679,313,241,1065,936,390,354,113,107
19,California,Fresno ,999101,498648,500453,382292,382910,29301,28675,14838,14887,54900,56453,1422,1393,15895,16135,396322,397119,34389,33833,21051,21307,61661,63154,2722,2718,227406,234515,139958,146091,23641,22633,2891,3076,50943,52487,714,723,9259,9505,148081,154409,26887,25942,5393,5820,55612,57118,1535,1563,271242,265938,242334,236819,5660,6042,11947,11811,3957,3966,708,670,6636,6630,248241,242710,7502,7891,15658,15487,6049,6036,1187,1155
